customer_id,first_name,last_name,age,home_state,signup_date,card_type,email,is_churned,churn_month
CUST000001,Edward,Curtis,41,IL,2022-08-21,Green,nicholsonclinton@example.net,0,
CUST000002,William,Johnson,46,CA,2021-01-16,Gold,pbarnes@example.org,0,
CUST000003,Brian,Cunningham,25,TN,2024-01-01,Green,crystalaguilar@example.org,0,
CUST000004,Randy,Cherry,27,VA,2024-02-27,Gold,hawkinsdean@example.com,0,
CUST000005,David,Parker,58,CA,2021-07-24,Platinum,dakotaduncan@example.org,0,
CUST000006,Amy,Brown,53,OH,2022-12-05,Gold,montgomerytyler@example.net,0,
CUST000007,Lee,Richards,23,TX,2023-04-05,Gold,pward@example.org,0,
CUST000008,John,Andrews,48,AZ,2024-11-20,Green,ugolden@example.com,0,
CUST000009,Tina,Wilson,25,GA,2022-06-03,Green,vmartin@example.org,0,
CUST000010,Robert,Hayden,26,TN,2026-04-17,Gold,duranashley@example.com,0,
CUST000011,Michael,Crawford,48,CA,2022-09-26,Gold,fjones@example.com,0,
CUST000012,Elizabeth,Brown,57,FL,2023-07-16,Platinum,deborah74@example.net,0,
CUST000013,Elizabeth,Johnson,35,WI,2023-01-04,Green,nkelly@example.org,0,
CUST000014,Jeffery,Mitchell,24,WI,2023-08-28,Green,raymondrangel@example.com,0,
CUST000015,Shane,Dunn,58,WA,2021-03-06,Green,lorishields@example.com,0,
CUST000016,Valerie,Vega,24,GA,2024-12-06,Platinum,jrosario@example.org,0,
CUST000017,Jesse,Hall,23,TN,2021-10-02,Green,lguerra@example.com,0,
CUST000018,Dustin,Nichols,29,MI,2022-05-21,Gold,stephanie89@example.net,1,2025-09-01
CUST000019,Brian,Lam,47,IL,2024-10-01,Platinum,zsanders@example.org,0,
CUST000020,Richard,Lee,55,FL,2023-08-02,Green,scottrodriguez@example.net,0,
CUST000021,Aaron,Hernandez,57,MI,2021-01-04,Gold,rushchristina@example.org,0,
CUST000022,Christina,Hernandez,56,PA,2025-12-09,Platinum,stephanie95@example.com,0,
CUST000023,Melinda,Kaiser,27,WI,2021-06-07,Green,tcastillo@example.org,0,
CUST000024,Kara,Yang,57,OH,2021-07-23,Gold,kpoole@example.net,0,
CUST000025,Stephanie,Rice,44,FL,2020-10-31,Platinum,hannahsloan@example.net,0,
CUST000026,Dawn,Davis,56,TX,2022-06-26,Green,april25@example.org,0,
CUST000027,Kimberly,Rivera,57,CA,2023-11-21,Gold,christiekramer@example.org,1,2025-10-01
CUST000028,Loretta,Singh,60,OH,2025-07-13,Gold,jamesvasquez@example.net,0,
CUST000029,Anthony,Ramirez,52,TN,2020-11-13,Gold,james95@example.com,0,
CUST000030,Jennifer,Bailey,48,NJ,2025-07-18,Gold,christopher13@example.com,1,2025-08-01
CUST000031,James,Hanson,50,WI,2021-11-15,Green,mendozadenise@example.net,0,
CUST000032,Donna,Browning,50,VA,2021-03-15,Gold,timothywhite@example.net,0,
CUST000033,Lauren,Bonilla,40,GA,2022-09-09,Green,vford@example.org,0,
CUST000034,George,Martinez,32,GA,2025-01-16,Gold,brittanymarshall@example.net,0,
CUST000035,Margaret,Baird,26,WI,2021-07-28,Green,eric82@example.org,1,2025-11-01
CUST000036,Tara,Santos,40,MD,2020-10-12,Platinum,ryanwiggins@example.org,0,
CUST000037,Jason,Mason,52,NJ,2020-11-11,Gold,jordan62@example.org,0,
CUST000038,Michael,Ellis,67,MA,2026-02-25,Green,gwilcox@example.org,1,2025-09-01
CUST000039,Alexandra,Smith,39,MN,2023-11-20,Gold,mfrank@example.org,0,
CUST000040,Edward,Thomas,25,FL,2025-05-08,Green,hawkinsmark@example.net,0,
CUST000041,Timothy,Frank,53,AZ,2023-11-17,Gold,wrightjoshua@example.org,0,
CUST000042,Anna,Wolf,31,NJ,2023-09-28,Green,ramoscheyenne@example.net,0,
CUST000043,James,Ramirez,30,CO,2024-05-01,Gold,promero@example.net,1,2025-08-01
CUST000044,Nancy,Reilly,47,CA,2023-11-01,Green,marytaylor@example.org,0,
CUST000045,Leslie,Lambert,63,TX,2023-01-18,Gold,qjones@example.com,0,
CUST000046,Penny,Moore,69,TN,2025-05-25,Gold,douglas27@example.org,0,
CUST000047,Clinton,Dyer,57,NJ,2025-03-04,Green,veronicawall@example.org,0,
CUST000048,Virginia,Powell,42,VA,2024-12-06,Platinum,ugonzalez@example.org,0,
CUST000049,Andrew,Spencer,59,CO,2025-01-10,Green,ywarner@example.com,0,
CUST000050,Kenneth,Yu,58,MA,2023-10-19,Gold,gallowaykristina@example.org,0,
CUST000051,Joseph,Bullock,25,TX,2021-03-14,Green,josephanderson@example.com,1,2025-09-01
CUST000052,Erica,Shah,38,CO,2025-10-16,Green,ghernandez@example.net,0,
CUST000053,Mark,Ramirez,65,TX,2023-08-30,Gold,ronaldjones@example.org,0,
CUST000054,Laurie,Miller,24,MI,2024-07-02,Gold,carlroy@example.com,0,
CUST000055,Virginia,Butler,62,WI,2020-10-06,Green,christy08@example.net,0,
CUST000056,Daniel,Martin,64,MA,2022-02-15,Green,whitesarah@example.net,0,
CUST000057,Katherine,Roberts,39,WA,2022-07-11,Green,josephlara@example.com,0,
CUST000058,Andrew,Wagner,63,VA,2020-11-30,Gold,williesanchez@example.com,0,
CUST000059,Lori,Reynolds,22,MA,2021-05-01,Gold,zgardner@example.net,0,
CUST000060,Jason,Hall,43,PA,2022-07-17,Gold,marisamann@example.net,0,
CUST000061,Veronica,Holden,60,FL,2021-07-14,Platinum,alexisgarrett@example.com,0,
CUST000062,Brian,Ortega,52,CA,2023-04-12,Gold,qharrell@example.com,0,
CUST000063,Heather,Williams,34,MI,2024-04-14,Green,ericgriffin@example.com,1,2025-07-01
CUST000064,Mark,Mercer,29,GA,2022-11-17,Green,john43@example.com,0,
CUST000065,Matthew,Miller,46,WA,2021-10-16,Gold,wesley33@example.net,0,
CUST000066,Christopher,Montoya,52,TX,2025-05-08,Green,reginaldwilliams@example.org,0,
CUST000067,Crystal,Miller,31,MA,2022-06-29,Platinum,dianebaldwin@example.net,1,2025-08-01
CUST000068,Mark,Rollins,46,TN,2023-01-12,Platinum,justinmontgomery@example.org,0,
CUST000069,Mary,Mcclain,38,IL,2020-12-15,Platinum,zgross@example.net,1,2025-11-01
CUST000070,Alexandra,Gordon,48,TN,2021-07-13,Gold,mckenziebrandy@example.net,0,
CUST000071,Heather,Hall,38,AZ,2024-10-16,Platinum,williamsdana@example.org,0,
CUST000072,Shannon,Williams,43,WA,2022-12-15,Green,simserin@example.com,0,
CUST000073,Stephen,Jones,35,IL,2022-04-11,Green,hopkinscarl@example.net,0,
CUST000074,Lisa,Mathis,26,PA,2023-07-16,Gold,jessicaharris@example.net,1,2025-11-01
CUST000075,Steven,Bruce,30,GA,2024-08-05,Gold,mendozagabriela@example.org,0,
CUST000076,Dawn,Jones,63,GA,2024-05-24,Gold,martinpearson@example.net,0,
CUST000077,Ashley,Smith,21,CO,2022-07-09,Green,tuckerteresa@example.org,0,
CUST000078,Emma,Carter,58,PA,2024-11-05,Green,steven71@example.net,0,
CUST000079,Tiffany,Mayer,37,MI,2021-11-21,Green,robertscharles@example.net,0,
CUST000080,Shannon,Adams,21,IL,2026-07-03,Green,sabrinaarias@example.org,0,
CUST000081,Donald,Warren,47,TN,2024-03-08,Green,david84@example.org,0,
CUST000082,Jesse,Hurst,44,MN,2024-11-30,Green,klong@example.org,0,
CUST000083,Erin,Sullivan,57,NJ,2026-05-24,Green,robertbennett@example.org,0,
CUST000084,Aaron,Christensen,29,MD,2025-09-25,Gold,mwilson@example.net,0,
CUST000085,Jodi,King,60,CA,2020-10-06,Gold,longyolanda@example.net,0,
CUST000086,Sara,Campos,50,TN,2021-02-25,Gold,ramirezbrett@example.net,0,
CUST000087,Selena,Wright,46,WA,2022-05-29,Gold,ryan53@example.com,0,
CUST000088,Ronald,Johnson,46,WA,2025-05-28,Gold,jgentry@example.net,0,
